Family	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Herpetosiphonaceae	0.107	0.0876	0.0457	0.0419	0.0229	0.0419	0.0343	0.0114	0.00381	0.0381	0.019	0.0343	0.00762	0.0152	0.019	0.019	0.0381	0.0571	0.118	0.0343	0.0876	0.404	0.118	0.0571	0.0419	0.0495	0.0533	0.0305	0.0343	0.0571	0.0571	0.0495	0.061	0.0571	0.0876	0	0.0152	0.0914	0.0343	0.3
Cellvibrionaceae	0.701	0.499	0.366	0.19	0.251	0.171	0.206	0.183	0.103	0.278	0.316	0.819	0.701	1.15	1.57	3.8	5.38	4.15	2.62	0.297	5.73	2.69	4.63	0.335	0.267	0.293	0.282	0.141	0.324	1.25	1.29	0.0267	0.0381	0.019	0.0267	0.0381	0.0343	0.0114	0.0343	0.3
Mycobacteriaceae	0.0952	0.114	0.133	0.152	0.0914	0.08	0.0419	0.061	0.0762	0.118	0.061	0.0152	0.0229	0.0457	0.061	0.0762	0.0495	0.0533	0.0381	0.0952	0.0343	0.061	0.0724	0.0876	0.0991	0.156	0.137	0.0724	0.0686	0.0495	0.0495	0.0495	0.0152	0.0457	0.061	0.0381	0.0838	0.232	0.0419	0.3
Bradyrhizobiaceae	0.122	0.282	0.164	0.156	0.145	0.0876	0.11	0.0762	0.0838	0.202	0.0343	0.0343	0.0305	0.0648	0.0648	0.118	0.126	0.133	0.179	0.229	0.164	0.118	0.11	0.217	0.133	0.194	0.171	0.118	0.156	0.13	0.168	0.312	0.533	0.389	0.45	0.343	0.37	0.503	0.107	0.3
OPB56	0.221	0.0533	0.0267	0.0381	0.0114	0.019	0.0305	0.00762	0.0114	0.0267	0.00381	0.0229	0	0.0152	0.0114	0.019	0.0419	0.0457	0.0381	0.0495	0.103	0.114	0.0533	0.019	0.0152	0.0419	0.0343	0.0267	0.019	0.0381	0.0571	0.0305	0.64	0.24	0.137	1.4	0.0152	0.171	0.0343	0.3
Propionibacteriaceae	0.0343	0.0838	0.11	0.0876	0.0571	0.0724	0.061	0.0533	0.0343	0.11	0.0419	0.0152	0.00762	0.00762	0.0229	0.0114	0.00762	0.0114	0.00381	0.0724	0.0267	0.0114	0.00762	0.061	0.0876	0.0724	0.149	0.0838	0.0724	0.00762	0.00381	0.08	0.149	0.293	0.293	0.0571	0.103	0.11	0.0762	0.3
Alcaligenaceae	0.0952	0.175	0.08	0.061	0.0571	0.107	0.107	0.0495	0.0991	0.0991	0.0952	0.0991	0.202	0.69	0.644	0.594	0.815	0.575	0.644	0.0952	1.7	2.15	3.14	0.0838	0.0914	0.0533	0.0838	0.061	0.0838	0.709	0.926	0.019	0.00762	0.0114	0.0267	0	0	0.0267	0.0457	0.3
Pseudonocardiaceae	0.0495	0.114	0.0952	0.0876	0.0686	0.0533	0.0686	0.0571	0.0229	0.114	0.019	0.0343	0.00381	0.00381	0	0.0114	0.00381	0.00762	0.0267	0.13	0.0152	0.00381	0.00762	0.0648	0.0914	0.0762	0.061	0.061	0.0724	0.00762	0.00762	0.118	0.0457	0.08	0.118	0.0343	0.0267	0.133	0.019	0.2
Nocardiaceae	0.221	0.187	0.221	0.187	0.297	0.19	0.168	0.187	0.316	0.168	0.229	0.168	1.16	0.777	0.705	0.617	0.549	0.571	0.571	0.171	0.655	0.591	1.47	0.194	0.221	0.229	0.259	0.213	0.175	0.442	0.491	0.0533	0.00381	0.0381	0.0686	0.00381	0.0305	0.0724	0.225	0.2
Gaiellaceae	0.0495	0.183	0.0762	0.0648	0.0533	0.0533	0.0229	0.0343	0.0152	0.0991	0.00381	0.0152	0.00381	0	0.0152	0	0	0	0.0114	0.156	0.00381	0.00381	0.00381	0.0914	0.103	0.0762	0.114	0.0648	0.0876	0	0	0.0533	0.0686	0.118	0.0914	0.0533	0.00381	0.0457	0.0152	0.2
