Family	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1	All
Conlariaceae	0	0	0	0	0	0.0786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0262	0	0.0131	0	0	0	0	0	0	0.00982	0	0	0	0	0	0	0	0	0.00655	0	0	0.0164	0.2
Corticiaceae	0.164	0.0295	0	0.707	0.0229	0.0131	0.0458	0.00327	0	0	0	0.00327	0.00327	0.00327	0	0	0	0	0	0	0	0	0.0295	0	0	0	0.0131	0.0229	0.0327	0.00327	0.00655	0.0327	0	0	0	0	0	0	0	0	0	0	0	0.2
Acrocalymmaceae	0	0	0	0	0	0.0688	0	0	0	0	0	0.036	0	0	0.0196	0	0	0	0	0	0	0.0426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0.2
Irpicaceae	0.0131	0	0	0.00982	0	0.0229	0	0	0	0	0	0	0	0	0	0.00655	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0.2
Clavicipitaceae	0	0.00982	0.0262	0.0327	0	0	0.0229	0	0	0	0	0.00982	0.00655	0.0164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0	0.00327	0.00327	0	0	0	0	0	0	0	0	0	0	0	0.1
Conioscyphaceae	0.0131	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0.128	0	0	0	0	0	0	0	0	0	0	0	0	0.00982	0	0	0	0.0164	0.1
Schizophyllaceae	0	0	0.0393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0295	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Saccharomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Cordycipitaceae	0	0	0	0.0131	0	0	0.00327	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0.00327	0	0.1
Sordariaceae	0	0	0.0164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0.1
Trimorphomycetaceae	0	0	0	0.0196	0	0	0	0	0	0	0	0.00327	0	0	0.0917	0	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Ascobolaceae	0	0.0229	0	0.00327	0.0131	0.00327	0	0	0	0	0	0	0.00982	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0.0131	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Valsaceae	0.0164	0.00655	0	0	0.00327	0	0	0	0	0	0	0	0.0131	0	0	0.0164	0	0	0	0	0	0	0	0	0.00982	0.0393	0.0295	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0.1
