Id,Label,timeset,G
ASV1698,ASV1698,,Rubellimicrobium
ASV120,ASV120,,Unassigned
ASV814,ASV814,,Rhodocytophaga
ASV1202,ASV1202,,Amaricoccus
ASV1208,ASV1208,,Segetibacter
ASV1338,ASV1338,,Arthrobacter
ASV1546,ASV1546,,Arthrobacter
ASV179,ASV179,,Unassigned
ASV1793,ASV1793,,Geodermatophilus
ASV267,ASV267,,Pontibacter
ASV486,ASV486,,Pseudomonas
ASV570,ASV570,,Sanguibacter
ASV77,ASV77,,Lysobacter
ASV857,ASV857,,Pontibacter
ASV1210,ASV1210,,Arthrobacter
ASV1561,ASV1561,,Acinetobacter
ASV1213,ASV1213,,Unassigned
ASV392,ASV392,,Unassigned
ASV1215,ASV1215,,Unassigned
ASV1219,ASV1219,,Psychrobacillus
ASV1221,ASV1221,,Pedobacter
ASV1254,ASV1254,,Unassigned
ASV205,ASV205,,Flavobacterium
ASV223,ASV223,,Unassigned
ASV750,ASV750,,Pontibacter
ASV783,ASV783,,Unassigned
ASV1228,ASV1228,,Unassigned
ASV388,ASV388,,Flavobacterium
ASV401,ASV401,,Pedobacter
ASV234,ASV234,,Unassigned
ASV239,ASV239,,Arthrobacter
ASV262,ASV262,,Solibacillus
ASV2809,ASV2809,,Nocardioides
ASV429,ASV429,,Saccharibacillus
ASV592,ASV592,,Arthrobacter
ASV78,ASV78,,Exiguobacterium
ASV816,ASV816,,Flavisolibacter
ASV174,ASV174,,Brevundimonas
ASV178,ASV178,,Unassigned
ASV1247,ASV1247,,Unassigned
ASV769,ASV769,,Luteolibacter
ASV171,ASV171,,Lysobacter
ASV291,ASV291,,Unassigned
ASV435,ASV435,,Nocardioides
ASV65,ASV65,,Cellvibrio
ASV689,ASV689,,Marmoricola
ASV126,ASV126,,Microbacterium
ASV1774,ASV1774,,Arthrobacter
ASV232,ASV232,,Pontibacter
ASV127,ASV127,,Brevundimonas
ASV1272,ASV1272,,Unassigned
ASV5638,ASV5638,,Unassigned
ASV1275,ASV1275,,Flavobacterium
ASV1277,ASV1277,,Lautropia
ASV2066,ASV2066,,Mycobacterium
ASV128,ASV128,,Unassigned
ASV1286,ASV1286,,Bacillus
ASV167,ASV167,,Unassigned
ASV566,ASV566,,Nocardioides
ASV1293,ASV1293,,Unassigned
ASV611,ASV611,,Unassigned
