Genus	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1	All
Cladosporium	0.0262	0.095	0.0196	0.0491	0.036	0.0164	0.0229	0.00327	0.00327	0	0	0.0229	0.00982	0	0.0229	0.0196	0	0.164	0.0131	0	0	0	0.0884	0	0	0.0458	0.0426	0.0196	0.0327	0.0131	0.0327	0.0458	0.0295	0	0	0	0	0	0	0	0	0.00982	0	0.2
Cercophora	0.00655	0	0	0	0	0.0393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00982	0	0	0.121	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0.00327	0.00982	0.2
Cutaneotrichosporon	0	0	0	0	0.0295	0	0	0	0	0	0	0.0426	0	0	0	0	0	0	0	0	0.095	0	0	0	0	0	0	0	0.0295	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0.2
Gloeoporus	0.0131	0	0	0.00982	0	0.0229	0	0	0	0	0	0	0	0	0	0.00655	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0.2
Canariomyces	0	0.0164	0	0.0491	0	0	0.00327	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00655	0	0	0.00982	0.0917	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Dominikia	0.00327	0	0	0	0.0131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0.0851	0.0262	0.838	0.00982	0.0262	0	0.0917	0.0196	0	0.2
Diversispora	0	0.00655	0	0.0164	0	0.00327	0.00982	0	0	0	0	0.0131	0.0262	0	0.00982	0	0	0	0	0	0	0	0	0	0	0.0622	0.0196	0.00655	0.00327	0.00655	0.0131	0.0131	0	0.072	0	0	0	0	0	0	0	0	0	0.2
Apiotrichum	0	0.072	0	0	0	0	0	0	0	0	0	0	0.0229	0	0	0	0	0	0	0	0	0	0	0	0.219	0	0	0	0.0196	0.00327	0	0	0	0	0	0	0	0.00327	0	0	0	0	0	0.2
Dichotomopilus	0	0	0	0.0164	0	0	0	0.00982	0.00327	0	0	0	0	0.00982	0	0	0	0	0	0	0	0	0.0196	0	0	0	0.00327	0	0.00327	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Conlarium	0	0	0	0	0	0.0786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0262	0	0.0131	0	0	0	0	0	0	0.00982	0	0	0	0	0	0	0	0	0.00655	0	0	0.0164	0.2
