Genus	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Propionibacterium	0.00381	0.00381	0.00381	0	0.00381	0.0114	0.00381	0	0	0.0114	0.00381	0	0	0	0.00762	0.00381	0.00762	0.00381	0	0.00381	0.00381	0.00762	0	0.00762	0.00762	0	0.0114	0.0152	0.00762	0	0	0	0.00381	0	0.019	0.00381	0	0	0	0.0
Pseudoclavibacter	0.00381	0.0152	0.0152	0.019	0.0114	0.019	0.00762	0.0152	0.00381	0.0152	0	0.0114	0	0	0.00381	0.00381	0	0.00381	0	0.0114	0	0	0.00762	0.00762	0.0152	0.00762	0.00762	0.0229	0.0229	0.00762	0	0	0	0.00381	0	0	0	0.00381	0.221	0.0
Psychrobacillus	0.00381	0.0114	0.00381	0.00381	0.0114	0.00381	0.0114	0.00381	0.00762	0.00762	0.00762	0.00381	0.00762	0.00381	0	0.00381	0	0	0	0.00381	0.00381	0	0.00381	0.0114	0.0305	0.00762	0.0114	0.00762	0.019	0	0	0.0305	0	0.00762	0	0	0	0	0.0838	0.0
Pseudoxanthobacter	0	0	0.00381	0	0	0	0	0.00381	0	0.00381	0.00381	0.00381	0	0	0	0	0.00381	0	0	0.0114	0	0.00381	0	0.0114	0.00381	0	0	0	0	0	0	0.00381	0.0152	0.00381	0.00762	0.0305	0.0114	0.00381	0	0.0
Pleomorphomonas	0.00762	0.0114	0	0.0114	0	0.0114	0	0.00381	0.0152	0.00381	0	0	0	0.00762	0.00381	0.0152	0.00381	0.0114	0.0114	0.019	0.00762	0.00762	0.00762	0.0152	0.0114	0.00381	0.00381	0.00381	0.0152	0	0	0.00381	0.00381	0.0114	0	0	0	0.00381	0.0152	0.0
Persicitalea	0.0152	0	0	0	0.0114	0	0.00381	0.0114	0.00381	0.00381	0	0.00381	0.00762	0.00381	0.00762	0.00762	0.0114	0.00762	0.0114	0.00381	0.0114	0.00762	0.00381	0.0152	0.00762	0.00762	0	0.00762	0.00381	0.0114	0.019	0.0114	0.00381	0.00762	0.0267	0	0.0114	0.194	0.126	0.0
Polaromonas	0	0	0.00381	0.00381	0.00381	0.00381	0.00381	0.00381	0	0.00762	0	0	0	0	0	0	0	0	0	0.00762	0	0	0	0.0114	0.00381	0.00762	0.0152	0.00381	0.00381	0	0	0	0	0	0	0	0.00381	0	0	0.0
Promicromonospora	0.0152	0.00762	0.019	0.00762	0.00381	0	0.00381	0.00762	0	0.0152	0.00381	0.00762	0	0	0	0	0	0.00381	0	0.0229	0	0	0	0	0.00762	0.0305	0.0267	0.0152	0	0	0	0	0	0	0.019	0	0.00381	0	0	0.0
Porphyrobacter	0.00762	0.00381	0.00381	0.00381	0	0.00762	0	0.00381	0	0.00381	0.0114	0	0	0.00381	0.00381	0	0	0	0	0.00381	0	0	0.00381	0.00381	0.0114	0.00381	0.00762	0.00762	0	0	0.00381	0.00762	0.00381	0.00381	0	0.00381	0	0.00381	0.00381	0.0
Leuconostoc	0	0	0.00381	0.00762	0	0.00381	0.00381	0	0.00381	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0.00381	0	0	0.00381	0.00381	0.0152	0.00381	0	0	0	0	0.00381	0	0	0	0	0	0.0
Leucobacter	0	0	0.00762	0.00381	0.00762	0.00762	0	0.00762	0.0229	0.00762	0	0	0	0.00762	0.00762	0.00762	0	0.00381	0.00381	0.00762	0	0	0	0	0.00762	0.00381	0.00381	0.0114	0.00762	0.00762	0.00762	0.00381	0	0	0	0	0	0.00381	0.0381	0.0
Limnohabitans	0	0.0114	0.00762	0.00762	0.0152	0.00381	0	0.00381	0	0.00381	0	0.00762	0	0	0	0	0	0	0	0.00762	0	0	0.00381	0.00762	0.00762	0.0114	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Marinoscillum	0.00762	0.00381	0	0	0	0.00762	0	0	0	0.00762	0	0	0	0	0	0	0	0	0	0.00762	0	0	0	0	0	0.00381	0	0	0	0	0	0	0.00762	0	0.00381	0	0.00381	0	0	0.0
Longispora	0.00381	0.00381	0.00381	0	0.00762	0.00381	0.00381	0	0	0.00762	0	0	0	0.00381	0	0	0	0	0	0	0	0	0.00381	0.00381	0	0	0.00381	0	0	0.00381	0	0.0229	0.0229	0.00762	0.0152	0	0.00762	0.0114	0	0.0
Kocuria	0.118	0.914	1.1	0.758	0.56	0.686	0.48	0.427	0.263	0.652	0.16	0.168	0.00762	0.0305	0.0229	0.0152	0.0114	0.019	0.0152	0.804	0.0305	0.0229	0.0381	0.853	0.686	0.842	0.911	0.697	0.644	0.0152	0.0152	0.271	0	0.518	0.392	0.00762	0.00762	0.0495	0.591	0.0
Klebsiella	0.0343	0.0267	0.0457	0.0571	0.0343	0.0114	0.0457	0.0343	0.0267	0.0229	0.0343	0.00381	0.0114	0	0.00381	0.00381	0.00381	0.00762	0.00381	0.0305	0.00762	0	0.0533	0.0381	0.0229	0.0229	0.0152	0.0114	0.0305	0	0.00762	0.00381	0	0	0	0	0.00381	0	0.00762	0.0
Lacibacter	0.0152	0.0114	0	0	0.00381	0.0114	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0.0152	0	0.00762	0	0	0	0	0	0	0	0	0.0152	0	0.0114	0.019	0	0.0
Lentzea	0.00381	0	0.00381	0	0	0.0114	0	0.00381	0	0.00381	0	0	0	0	0	0	0	0	0	0.0114	0	0	0	0.00381	0	0.00762	0	0	0.00381	0	0	0.00762	0	0	0.0152	0.00381	0.00381	0.019	0	0.0
Lechevalieria	0.00762	0.0152	0.00762	0.0229	0.0152	0.00381	0.0152	0.00381	0	0.0267	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0.00381	0.00762	0.0114	0.00762	0.00381	0.0114	0	0	0.0533	0.0267	0.0305	0.0267	0	0.00381	0.0495	0	0.0
Neochlamydia	0.0267	0.00381	0	0.00381	0	0.00381	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0.00762	0	0	0	0	0.00762	0	0	0.00381	0.00381	0	0	0	0.0648	0.00381	0.00762	0	0	0.00381	0.0114	0.0
Myxococcales_bacterium_Gsoil_473	0.00381	0	0.0114	0	0.00381	0.00381	0	0	0	0.0114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0.00381	0.00381	0	0.00381	0	0.0
Neorhizobium	0.019	0.00381	0.00381	0.00762	0.00762	0.0114	0	0.00381	0.0114	0.0114	0.00762	0.00381	0.0305	0.0114	0.0229	0.0229	0.00381	0.019	0.00381	0.019	0	0	0.0229	0.00381	0.00381	0.0114	0.00381	0	0	0.0343	0.0114	0	0	0	0	0	0	0	0	0.0
Nitriliruptor	0.00381	0.0229	0.00762	0.019	0.00762	0.00762	0.00762	0.00381	0	0.00762	0	0	0.00381	0	0	0.00381	0.00762	0.00381	0.00762	0.0152	0.00381	0.019	0	0.00762	0.0152	0.0114	0.0114	0.00381	0.0114	0	0.0152	0.00381	0.00381	0.00381	0.00762	0	0	0.019	0	0.0
Niabella	0.0229	0.0152	0	0	0.00381	0.00381	0.0114	0	0.0229	0.00762	0.00762	0	0.0114	0.00381	0.00762	0.0305	0.00762	0	0	0	0	0	0.019	0	0.00381	0	0.00762	0	0.00381	0	0.00381	0	0.00381	0.00762	0	0	0.00381	0.0267	0.00381	0.0
Methylophilus	0.0838	0.019	0.0114	0.00381	0	0.0152	0.019	0.00762	0	0.0343	0	0	0	0.00381	0	0	0.00762	0	0	0.0152	0	0	0	0.019	0.0267	0.0305	0.0381	0.0152	0.0114	0.0571	0.0114	0	0	0	0	0	0	0	0	0.0
Methylophaga	0.0381	0.00762	0.00381	0	0.00381	0	0.00381	0	0	0.00762	0	0.00381	0	0	0	0	0	0	0	0.00381	0	0	0	0.00762	0	0.00381	0.00381	0.00381	0	0.019	0	0	0	0	0	0	0	0.00381	0	0.0
Micropruina	0	0	0	0.00762	0	0	0	0.00381	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0.00381	0	0.00381	0	0	0	0	0	0	0	0	0.0457	0.0267	0.00381	0.00381	0.00381	0.0114	0.0
Muricoccus	0.00381	0.00762	0	0	0	0	0.00381	0.00762	0.00381	0	0.00762	0	0	0.00381	0.00381	0	0.00381	0.00381	0	0	0	0	0	0.00381	0	0	0	0.00381	0	0	0	0	0	0	0.00381	0	0	0	0.00381	0.0
Moraxella	0	0.00762	0	0	0.0114	0.00381	0.00381	0	0.00381	0	0	0.00762	0	0	0	0.00762	0	0	0.00381	0	0	0	0.00381	0	0	0	0.00381	0.0114	0	0	0	0	0	0	0.00381	0	0	0	0	0.0
