Genus	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Reyranella	0.107	0.0648	0.0229	0.00762	0.019	0.00381	0.0267	0.0152	0.0114	0.0267	0.00381	0.00381	0.00381	0.00762	0.0114	0.0152	0.0152	0.0114	0.019	0.0571	0.0152	0.0229	0.0114	0.0114	0.0152	0.0267	0.019	0.0229	0.0267	0.0152	0.0229	0.0876	0.301	0.0914	0.08	0.137	0.0648	0.0838	0.00381	0.2
Paracocccus	0.476	1.34	1.68	1.74	1.63	1.74	1.78	1.75	2.44	1.1	3.75	2.64	1.41	2.16	1.52	1.33	0.968	1.08	1.3	1.26	1.76	1.49	2.49	1.34	1.23	1.26	1.11	1.49	1.31	1.33	0.888	1.08	0.0343	2.26	1.54	0.114	0.0991	0.271	2.47	0.2
Candidatus_Alysiosphaera	0.0343	0.0648	0.0495	0.0343	0.0495	0.0305	0.0381	0.0419	0.00762	0.0457	0.00381	0.00381	0.00381	0	0	0	0	0.00381	0	0.061	0	0.00381	0.00762	0.11	0.0495	0.0686	0.0762	0.0229	0.0495	0	0.00381	0.149	0.225	0.149	0.11	0.0686	0.0686	0.0419	0.019	0.2
Aeromicrobium	0.122	0.175	0.156	0.133	0.156	0.156	0.0952	0.114	0.183	0.0991	0.0876	0.11	0.229	0.118	0.11	0.107	0.137	0.152	0.217	0.16	0.0952	0.0762	0.0762	0.137	0.168	0.133	0.187	0.122	0.141	0.0724	0.11	0.263	0.156	0.19	0.149	0.00381	0.297	0.187	0.122	0.2
Nitrosomonas	0.0343	0.019	0.0114	0.00762	0.0114	0.00381	0.0152	0.00381	0	0.0267	0.00381	0	0	0.00381	0	0	0	0	0.00381	0.0381	0	0	0.0343	0.0152	0.019	0.0343	0.0114	0.0114	0.019	0.0114	0.0114	0.16	0.24	0.0914	0.0952	0.0838	0.0305	0.613	0.0343	0.2
Rhodopirellula	0.0838	0.0343	0.0495	0.0381	0.0267	0.0267	0.019	0.00762	0.0305	0.0686	0	0.00381	0.00381	0.019	0.00762	0.00381	0.0305	0.0152	0.0305	0.0419	0.0229	0.0267	0.0991	0.0533	0.019	0.0686	0.0343	0.0229	0.0114	0.0686	0.0495	0.0914	0.0419	0.0533	0.08	0.00762	0.0381	0.103	0.00762	0.2
Deinococcus	0.00381	0.0305	0.0457	0.0495	0.0229	0.0419	0.0267	0.0533	0.0991	0.0152	0.0533	0.0381	0.0114	0.0152	0.0267	0.0114	0.0152	0.0229	0.0229	0.0305	0.0152	0.0305	0.0152	0.0305	0.0114	0.061	0.019	0.0495	0.0381	0.0229	0.0762	0.0114	0	0.0229	0.00762	0.00381	0	0.00762	0.00381	0.2
Haloferula	0.145	0.0876	0.0381	0.0267	0.0229	0.0533	0.019	0.0305	0.0305	0.0114	0	0.00762	0.0229	0.0343	0.0457	0.198	0.061	0.0876	0.0533	0.0914	0.0457	0.0533	0.0114	0.0571	0.0343	0.0381	0.0229	0.019	0.0267	0.0495	0.13	0.0686	0.0724	0.0571	0.0495	0.0914	0.149	0.0571	0.0229	0.2
Ferruginibacter	0.187	0.164	0.0648	0.0571	0.0991	0.0762	0.0724	0.0305	0.0305	0.0952	0.0305	0.0343	0.0495	0.0686	0.122	0.11	0.312	0.19	0.331	0.133	0.171	0.206	0.0838	0.0914	0.122	0.114	0.08	0.061	0.0686	0.137	0.122	0.0571	0.0914	0.0648	0.08	0.00762	0.0229	0.202	0.0724	0.2
CL500-29_marine_group	0.0533	0.0419	0.0152	0.0419	0.019	0.0305	0.0229	0.0229	0.00762	0.019	0.00762	0.00762	0.00381	0	0.00381	0	0.00381	0.00381	0	0.0267	0.00762	0	0.00381	0.0267	0.0457	0.0152	0.0267	0.0343	0.00381	0.00381	0.00381	0.0571	0.183	0.13	0.0762	0.0724	0.0267	0.0952	0.00762	0.2
Roseomonas	0.019	0.0838	0.0533	0.0419	0.0343	0.0495	0.0419	0.0991	0.0229	0.0876	0.0419	0.0343	0.0457	0.11	0.0838	0.0686	0.0267	0.0229	0.019	0.0991	0.0305	0.0381	0.0686	0.061	0.0305	0.061	0.0419	0.0381	0.0305	0.0724	0.0114	0.0152	0.00762	0.0571	0.0495	0.0152	0.0381	0.00762	0.0533	0.2
Streptomyces	0.122	0.408	0.263	0.179	0.19	0.206	0.175	0.141	0.133	0.24	0.0914	0.0457	0.0114	0.0114	0.00381	0.019	0.00381	0.019	0.0229	0.267	0.0152	0.0152	0.0229	0.293	0.225	0.267	0.282	0.24	0.232	0.0114	0.0114	0.431	0.777	0.392	0.514	0.0762	0.122	0.149	0.0419	0.2
Arcticibacter	0.819	0.339	0.309	0.328	0.282	0.301	0.229	0.221	0.271	0.206	0.19	0.145	0.061	0.0648	0.0648	0.0876	0.103	0.08	0.0533	0.347	0.217	0.0686	0.202	0.297	0.331	0.301	0.286	0.248	0.236	0.183	0.08	0	0	0.0114	0	0.00762	0.0114	0.00762	0.0267	0.2
Phaeodactylibacter	0.0229	0	0	0.00381	0.00381	0	0.00381	0	0.00381	0.0114	0.00381	0	0	0	0	0.00381	0	0	0.00381	0.0152	0.00381	0	0.00381	0	0.00762	0.0114	0.00381	0.00381	0	0.00381	0.0152	0.24	0.331	0.0381	0.0571	0.0724	0.0838	0.137	0.00762	0.2
Erythrobacter	0.0343	0.0305	0.0686	0.0419	0.0343	0.0571	0.0533	0.061	0.11	0.0305	0.118	0.0724	0.16	0.282	0.267	0.255	0.187	0.324	0.198	0.0648	0.206	0.19	0.0762	0.0229	0.0229	0.019	0.0457	0.0152	0.0229	0.225	0.133	0.00381	0.00762	0.0533	0.0114	0.00381	0	0.019	0.0533	0.2
