Biomarkernames	Log10AverageAbundance	EnrichedGroups	LDA	KW_Pvalue
k__Bacteria.p__Chloroflexi.c__KD4_96.o__Unassigned.f__Unassigned.g__Unassigned	3.74590810939883	SSP	3.427573094352926	0.0003414372847106826
k__Bacteria.p__Chloroflexi.c__Thermomicrobia.o__JG30_KF_CM45.f__Unassigned.g__Unassigned	3.8185061163354845	SST	3.4602672234478833	3.7171907193226486e-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	4.391268786011753	SSP	4.0643599799248005	1.1236619035142849e-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Family_XII.g__Exiguobacterium	4.172187165929136	SSF	3.843190071557779	7.83873125487168e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Domibacillus	3.509832864712449	SSF	3.270831498370745	7.638500392790221e-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Planococcus	5.088536495975932	SSF	4.733846541811002	5.468897222956962e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Unassigned	4.4738768815236964	SSF	4.13698946812612	7.3742416914920366e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Unassigned.g__Unassigned	3.9848787411617335	SSF	3.69298318697121	6.922495266167804e-06
k__Bacteria.p__Firmicutes.c__Unassigned.o__Unassigned.f__Unassigned.g__Unassigned	3.992071247678241	SSF	3.7447971595164233	4.5957348117049106e-07
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae.g__Brevundimonas	4.084474433137377	SST	3.764050515657112	8.128756683879805e-05
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae.g__Caulobacter	4.093407140774707	SST	3.798517426265451	0.00011703718643449601
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae.g__Unassigned	4.133952167337761	SST	3.7906036704745882	9.554682692647468e-05
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__Devosia	4.48374449541976	SST	4.0614448908145935	0.0004952678600145538
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Rhizobium	3.7685753838687424	SST	3.4845352548852806	8.968403611283827e-05
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Paracocccus	4.397030764577558			-
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Unassigned	4.060785389059591	SST	3.755537379490921	4.309966168185106e-05
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Comamonas	3.6193079394806427	SSF	3.496590031038057	2.5880093534822363e-05
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Massilia	4.635963040947983	SSF	4.239756726826804	1.066249042270036e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Cellvibrionaceae.g__Cellvibrio	4.651619568225049	SST	4.312060025904856	9.455663735526076e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Pantoea	3.686845492545714	SSF	3.3567353443191568	3.3051630958355834e-05
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	4.8420017382233596	SSF	4.511924789638757	1.2098934556828499e-05
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Alkanindiges	4.359833122823779	SST	4.059434601416831	1.8894036732058332e-05
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Psychrobacter	4.366822555720126	SSF	4.012667053236461	0.000136343894839429
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas	5.457909952630932			-
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Lysobacter	4.297738524901143	SST	3.944285090993194	7.904941141804921e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Stenotrophomonas	3.5726085407073938	SSF	3.4185322123010993	6.842042267847365e-06
k__Bacteria.p__Saccharibacteria.c__Unassigned.o__Unassigned.f__Unassigned.g__Unassigned	4.956673249060835	SST	4.625803169917057	2.3332331522340313e-06
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Luteolibacter	4.579723648951848	SST	4.241033348584867	0.00031293156624430916
k__Spike.p__Spike.c__Spike.o__Spike.f__Spike.g__Spike	4.121919283388721			-
